"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI TIC MRM Frag=166.0V (** -> **) 02_WT_rRNA.d "
"No integration results available"
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 295.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"46" ,7.598,7.631,7.731,2.22,10.42,2.68,5.61,0.47,0.133,0.086,46.60,45.98,7.590,7.598,7.722,7.731,45.65,45.65,2.40,47.87,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"47" ,7.797,7.855,7.938,2.23,7.49,1.93,5.64,0.34,0.141,0.050,45.87,45.84,7.789,7.797,7.921,7.938,45.65,45.65,1.21,47.89,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"48" ,7.938,7.971,7.996,12.85,10.88,2.80,32.49,0.49,0.058,0.010,45.84,45.72,7.921,7.938,7.988,7.996,45.65,45.65,0.40,58.50,,,  ,393.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (509.0 -> 377.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,0.303,0.329,0.346,6.50,8.35,10.89,24.29,0.81,0.043,0.022,48.71,48.67,0.116,0.239,0.346,0.354,48.71,48.67,0.53,55.19,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,0.348,0.378,0.386,2.44,2.45,3.19,9.13,0.24,0.038,0.023,48.98,48.98,0.346,0.354,0.444,0.452,48.98,48.98,0.24,51.42,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,0.452,0.485,0.591,3.73,9.72,12.67,13.96,0.94,0.139,0.036,45.70,45.68,0.444,0.452,0.583,0.591,45.64,45.64,1.83,49.37,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,0.608,0.640,0.724,13.85,47.47,61.89,51.78,4.60,0.116,0.056,47.89,47.67,0.583,0.591,0.795,0.819,47.89,47.67,2.75,61.68,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,0.822,0.852,0.879,7.00,10.18,13.27,26.18,0.99,0.056,0.025,47.48,47.38,0.795,0.819,0.909,0.917,47.48,47.38,0.67,54.43,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"6" ,0.921,0.949,0.966,3.51,4.47,5.83,13.12,0.43,0.045,0.023,47.30,47.21,0.909,0.917,0.974,0.982,47.30,47.21,0.29,50.75,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"7" ,0.986,1.015,1.023,7.59,9.63,12.56,28.37,0.93,0.037,0.023,48.98,49.64,0.974,0.982,1.023,1.039,48.98,48.98,0.30,56.57,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"8" ,1.023,1.055,1.061,2.80,4.60,6.00,10.45,0.45,0.039,0.033,49.64,48.98,1.023,1.039,1.120,1.137,48.98,48.98,0.17,51.77,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"9" ,1.143,1.169,1.177,5.35,6.93,9.04,20.00,0.67,0.034,0.032,48.98,52.16,1.120,1.137,1.177,1.185,48.98,48.98,0.64,54.33,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"10" ,1.177,1.202,1.210,4.54,5.98,7.79,16.97,0.58,0.032,0.028,52.16,48.98,1.177,1.185,1.218,1.218,48.98,48.98,0.30,53.52,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"11" ,1.210,1.242,1.262,2.43,3.29,4.29,9.07,0.32,0.053,0.018,48.92,48.98,1.218,1.218,1.348,1.356,48.98,48.98,0.67,51.40,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"12" ,1.359,1.389,1.418,4.03,6.06,7.90,15.05,0.59,0.059,0.027,46.47,46.36,1.348,1.356,1.430,1.438,46.47,46.36,0.70,50.44,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"13" ,1.440,1.470,1.499,2.71,4.04,5.27,10.12,0.39,0.059,0.027,46.32,46.21,1.430,1.438,1.519,1.527,46.32,46.21,0.66,48.97,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"14" ,1.530,1.560,1.584,2.51,3.85,5.02,9.40,0.37,0.054,0.027,46.15,46.27,1.519,1.527,1.576,1.584,46.15,46.05,0.76,48.61,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"15" ,1.584,1.617,1.671,3.89,8.07,10.53,14.55,0.78,0.087,0.028,46.27,45.88,1.576,1.584,1.698,1.722,46.05,45.88,1.06,49.88,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"16" ,1.910,1.943,1.984,7.82,14.75,19.23,29.24,1.43,0.074,0.031,45.66,46.34,1.894,1.910,1.984,2.000,45.66,45.66,1.22,53.48,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"17" ,1.984,2.017,2.058,0.95,2.54,3.31,3.54,0.25,0.074,0.040,46.34,45.79,1.984,2.000,2.050,2.058,45.66,45.66,1.25,46.61,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"18" ,2.058,2.091,2.156,4.99,10.73,13.98,18.67,1.04,0.099,0.031,45.79,45.83,2.050,2.058,2.148,2.156,45.66,45.66,1.29,50.65,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"19" ,2.156,2.189,2.214,2.68,5.23,6.82,10.02,0.51,0.057,0.032,45.83,46.28,2.148,2.156,2.206,2.214,45.66,45.66,0.76,48.34,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"20" ,2.214,2.247,2.280,2.08,4.43,5.77,7.77,0.43,0.066,0.035,46.28,45.82,2.206,2.214,2.272,2.280,45.66,45.66,0.77,47.74,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"21" ,2.280,2.313,2.354,4.20,8.51,11.09,15.70,0.83,0.074,0.031,45.82,46.02,2.272,2.280,2.346,2.354,45.66,45.66,1.17,49.86,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"22" ,2.354,2.387,2.453,3.19,7.05,9.19,11.91,0.68,0.099,0.032,46.02,45.76,2.346,2.354,2.502,2.658,45.66,45.66,0.99,48.85,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"23" ,2.798,2.855,2.921,3.85,8.20,10.69,14.40,0.80,0.123,0.031,45.67,45.75,2.716,2.822,2.921,2.937,45.66,45.66,1.27,49.51,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"24" ,2.929,2.970,3.019,4.33,8.80,11.47,16.20,0.85,0.090,0.031,45.70,45.83,2.921,2.937,3.011,3.019,45.66,45.66,1.07,49.99,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"25" ,3.019,3.052,3.117,3.04,6.40,8.35,11.38,0.62,0.098,0.032,45.83,45.72,3.011,3.019,3.125,3.150,45.66,45.66,1.14,48.70,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"26" ,3.150,3.183,3.207,1.47,2.61,3.41,5.49,0.25,0.057,0.031,45.66,46.06,3.125,3.150,3.199,3.207,45.66,45.66,0.80,47.13,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"27" ,3.207,3.240,3.273,1.00,2.60,3.39,3.72,0.25,0.065,0.053,46.06,46.12,3.199,3.207,3.265,3.273,45.66,45.66,0.80,46.66,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"28" ,3.273,3.346,3.436,4.63,16.80,21.90,17.32,1.63,0.164,0.034,46.12,45.84,3.265,3.273,3.428,3.436,45.66,45.66,0.92,50.29,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"29" ,3.436,3.494,3.502,7.32,15.75,20.53,27.37,1.53,0.065,0.045,45.84,51.34,3.428,3.436,3.502,3.510,45.66,45.66,0.31,52.98,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"30" ,3.502,3.543,3.641,11.26,38.01,49.55,42.09,3.69,0.139,0.056,51.34,46.13,3.502,3.510,3.633,3.641,45.66,45.66,1.56,56.92,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"31" ,3.641,3.674,3.731,1.32,3.29,4.29,4.95,0.32,0.090,0.036,46.13,45.72,3.633,3.641,3.747,3.780,45.66,45.66,1.14,46.98,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"32" ,3.772,3.845,3.910,6.79,13.99,18.24,25.39,1.36,0.138,0.031,45.66,45.76,3.747,3.780,3.951,4.000,45.66,45.66,1.08,52.45,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"33" ,4.290,4.333,4.357,10.56,19.70,25.69,39.49,1.91,0.067,0.031,45.66,47.96,4.243,4.276,4.357,4.366,45.66,45.66,1.05,56.23,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"34" ,4.357,4.390,4.471,2.66,7.61,9.93,9.95,0.74,0.114,0.039,47.96,45.77,4.357,4.366,4.479,4.609,45.66,45.66,1.61,48.32,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"35" ,4.495,4.666,4.700,0.15,1.03,1.35,0.55,0.10,0.205,0.182,45.67,45.66,4.479,4.609,4.706,4.763,45.66,45.66,0.19,45.81,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"36" ,4.860,4.893,4.957,8.82,16.97,22.13,32.97,1.65,0.097,0.030,45.67,45.95,4.852,4.860,4.998,5.031,45.67,45.68,1.18,54.50,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"37" ,5.022,5.063,5.112,7.74,15.69,20.46,28.95,1.52,0.089,0.031,45.69,46.07,4.998,5.031,5.104,5.112,45.68,45.68,1.17,53.42,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"38" ,5.112,5.169,5.234,8.81,22.38,29.18,32.92,2.17,0.122,0.035,46.07,45.78,5.104,5.112,5.226,5.234,45.68,45.68,0.70,54.49,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"39" ,5.234,5.267,5.291,9.73,19.28,25.14,36.37,1.87,0.057,0.033,45.78,48.69,5.226,5.234,5.283,5.291,45.68,45.69,0.95,55.41,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"40" ,5.291,5.323,5.397,13.11,37.21,48.52,49.02,3.61,0.106,0.050,48.69,46.07,5.283,5.291,5.389,5.397,45.69,45.69,1.37,58.80,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"41" ,5.397,5.462,5.527,4.75,12.55,16.36,17.76,1.22,0.130,0.033,46.07,45.76,5.389,5.397,5.535,5.543,45.69,45.69,0.60,50.44,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"42" ,5.543,5.600,5.625,16.49,49.10,64.02,61.65,4.76,0.081,0.062,45.70,56.05,5.535,5.543,5.625,5.633,45.69,45.70,0.67,62.19,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"43" ,5.625,5.682,5.706,25.73,76.69,100.00,96.17,7.44,0.082,0.051,56.05,54.49,5.625,5.633,5.706,5.714,47.59,47.78,0.57,73.45,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"44" ,5.706,5.739,5.747,16.54,30.65,39.96,61.82,2.97,0.041,0.036,54.49,53.04,5.706,5.714,5.747,5.755,48.21,48.21,0.50,64.75,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"45" ,5.747,5.779,5.812,25.87,54.54,71.12,96.70,5.29,0.065,0.034,53.04,52.19,5.747,5.755,5.804,5.812,48.21,48.21,1.00,74.08,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"46" ,5.812,5.837,5.877,12.65,26.64,34.74,47.27,2.58,0.065,0.035,52.19,48.21,5.804,5.812,5.886,5.886,48.21,48.21,1.00,60.86,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"47" ,5.907,5.935,5.940,2.10,2.18,2.84,7.84,0.21,0.034,0.014,50.03,51.08,5.886,5.886,5.943,5.952,50.03,51.08,0.18,53.02,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"48" ,5.957,5.985,6.001,5.80,9.47,12.34,21.67,0.92,0.044,0.032,51.61,55.27,5.943,5.952,5.993,6.001,51.61,52.97,0.70,58.26,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"49" ,6.001,6.042,6.075,12.72,41.56,54.19,47.53,4.03,0.074,0.051,55.27,63.32,5.993,6.001,6.067,6.067,52.97,55.27,0.61,66.97,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"50" ,6.075,6.100,6.132,13.91,39.72,51.79,52.01,3.85,0.058,0.058,63.32,66.54,6.067,6.067,6.124,6.124,55.27,57.06,0.75,69.95,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"51" ,6.132,6.141,6.157,12.16,13.39,17.46,45.44,1.30,0.025,0.031,66.54,62.85,6.124,6.124,6.149,6.157,57.06,57.83,0.99,69.48,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"52" ,6.157,6.190,6.209,12.50,26.70,34.81,46.74,2.59,0.051,0.037,62.85,59.43,6.149,6.157,6.207,6.215,57.83,59.43,0.40,71.36,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"53" ,6.220,6.264,6.305,26.75,63.82,83.21,100.00,6.19,0.085,0.038,59.78,62.44,6.207,6.215,6.305,6.314,59.78,62.44,1.05,87.92,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"54" ,6.463,6.488,6.512,9.20,15.31,19.97,34.38,1.49,0.049,0.033,77.60,73.34,6.372,6.380,6.513,6.521,77.60,73.34,0.46,84.59,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"55" ,6.521,6.563,6.625,17.82,66.65,86.90,66.61,6.46,0.104,0.074,72.51,68.37,6.513,6.521,6.621,6.629,65.80,68.37,1.24,84.65,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"56" ,6.646,6.662,6.737,8.40,30.45,39.71,31.40,2.95,0.091,0.032,71.29,57.78,6.621,6.629,6.787,6.795,71.29,57.78,0.95,77.24,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"57" ,6.795,6.803,6.828,1.64,1.14,1.49,6.13,0.11,0.034,0.015,50.82,50.34,6.787,6.795,6.853,6.861,50.82,50.34,1.80,52.34,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"58" ,7.154,7.159,7.201,0.36,0.79,1.03,1.35,0.08,0.046,0.030,47.63,47.52,7.118,7.126,7.192,7.201,47.63,47.43,7.89,47.97,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"59" ,7.201,7.217,7.236,1.09,1.49,1.94,4.06,0.14,0.036,0.024,47.52,47.27,7.192,7.201,7.242,7.250,47.43,47.27,0.69,48.44,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"60" ,7.255,7.275,7.288,0.88,0.92,1.20,3.30,0.09,0.033,0.023,47.19,47.05,7.242,7.250,7.292,7.300,47.19,47.05,0.59,47.99,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"61" ,7.306,7.333,7.341,1.08,1.01,1.32,4.05,0.10,0.036,0.023,46.97,46.82,7.292,7.300,7.341,7.350,46.97,46.82,0.26,47.94,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"62" ,7.350,7.383,7.420,2.44,4.80,6.26,9.12,0.47,0.069,0.034,46.78,46.48,7.341,7.350,7.425,7.441,46.78,46.48,0.84,49.07,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"63" ,7.617,7.649,7.715,3.41,8.27,10.79,12.75,0.80,0.098,0.036,45.95,45.97,7.599,7.615,7.707,7.715,45.95,45.95,1.73,49.36,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"64" ,7.715,7.748,7.806,1.11,2.20,2.86,4.15,0.21,0.091,0.031,45.97,46.04,7.707,7.715,7.773,7.806,45.95,45.95,0.98,47.06,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"65" ,7.806,7.839,7.876,0.96,1.77,2.30,3.60,0.17,0.070,0.030,46.04,45.95,7.773,7.806,7.889,7.897,45.95,45.95,0.79,46.91,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"66" ,7.900,7.931,7.970,2.07,4.46,5.82,7.74,0.43,0.070,0.035,45.95,45.95,7.889,7.897,7.980,7.997,45.95,45.95,1.49,48.02,,,  ,377.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (459.0 -> 327.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,0.478,0.558,0.640,116.88,674.04,6.00,3.47,5.21,0.162,0.098,67.87,99.00,0.436,0.452,0.632,0.640,67.87,92.52,1.20,196.94,,,  ,327.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,3.191,3.289,3.379,32.56,175.81,1.57,0.97,1.36,0.188,0.099,47.55,49.60,3.191,3.208,3.371,3.379,46.08,46.15,1.11,78.68,,,  ,327.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,5.503,5.535,5.576,54.76,161.94,1.44,1.62,1.25,0.073,0.051,59.62,68.06,5.495,5.503,5.568,5.576,47.95,48.08,1.00,102.76,,,  ,327.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,5.576,5.608,5.641,52.26,150.22,1.34,1.55,1.16,0.065,0.059,68.06,76.72,5.568,5.576,5.633,5.641,48.08,48.21,0.80,100.40,,,  ,327.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,5.641,5.698,5.837,3372.66,11227.17,100.00,100.00,86.85,0.196,0.050,76.72,78.05,5.633,5.641,5.837,5.845,68.36,78.05,1.67,3443.85,,,  ,327.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"6" ,5.926,5.977,6.018,52.32,202.39,1.80,1.55,1.57,0.091,0.072,74.74,112.45,5.919,5.927,6.010,6.018,74.74,80.92,0.93,130.46,,,  ,327.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"7" ,6.018,6.051,6.145,50.94,215.92,1.92,1.51,1.67,0.128,0.081,112.45,89.55,6.010,6.018,6.166,6.174,80.92,89.55,2.47,134.09,,,  ,327.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"8" ,6.560,6.605,6.663,32.95,118.88,1.06,0.98,0.92,0.104,0.060,107.66,94.66,6.506,6.514,6.655,6.671,107.66,86.17,0.60,131.15,,,  ,327.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@8.0 (427.0 -> 295.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,0.591,0.624,0.632,12.74,20.09,1.85,9.43,0.37,0.041,0.031,48.33,51.79,0.150,0.550,0.632,0.640,48.24,48.24,0.52,60.98,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,0.632,0.665,0.691,8.53,17.99,1.65,6.31,0.34,0.059,0.037,51.79,48.24,0.632,0.640,0.705,0.738,48.24,48.24,0.61,56.76,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,0.841,0.885,0.938,18.97,46.38,4.26,14.05,0.86,0.097,0.038,48.23,48.23,0.795,0.836,0.958,0.999,48.23,48.23,0.93,67.20,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,1.227,1.259,1.287,10.36,18.26,1.68,7.67,0.34,0.061,0.031,50.29,48.21,1.210,1.227,1.284,1.300,48.21,48.21,0.39,58.57,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,1.485,1.536,1.605,15.62,52.22,4.80,11.56,0.97,0.121,0.071,48.20,48.19,1.438,1.479,1.601,1.617,48.20,48.19,1.24,63.81,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"6" ,1.618,1.650,1.680,9.07,15.06,1.38,6.72,0.28,0.061,0.023,48.19,48.19,1.601,1.617,1.674,1.698,48.19,48.19,0.83,57.27,,,  ,295.0,,,,,,,,,,,
