"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d" ,"7" ,0.837,0.854,0.899,0.98,1.51,1.23,2.48,0.37,0.061,0.024,-0.25,-0.27,0.824,0.827,0.897,0.900,-0.25,-0.28,1.86,0.72,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d" ,"8" ,1.160,1.216,1.327,16.92,52.05,42.48,42.68,12.67,0.166,0.047,-0.37,-0.23,1.152,1.154,1.325,1.330,-0.39,-0.23,1.60,16.58,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d" ,"9" ,1.424,1.427,1.610,0.05,1.32,1.08,0.12,0.32,0.186,0.007,-0.48,-0.54,1.422,1.424,1.428,1.431,-0.49,-0.49,1.00,-0.45,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d" ,"10" ,3.174,3.294,3.453,20.21,122.51,100.00,51.00,29.83,0.279,0.094,-1.05,-0.66,3.159,3.168,3.491,3.499,-1.05,-0.66,1.27,19.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d" ,"11" ,3.505,3.596,3.706,19.44,90.52,73.89,49.06,22.04,0.201,0.073,-0.98,-1.24,3.491,3.499,3.717,3.735,-0.98,-1.24,1.13,18.35,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d" ,"12" ,3.823,3.866,3.908,0.57,1.60,1.31,1.44,0.39,0.085,0.047,-1.58,-1.73,3.821,3.824,3.922,3.925,-1.58,-1.73,0.80,-1.08,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d" ,"13" ,5.444,5.465,5.506,0.88,1.41,1.15,2.23,0.34,0.063,0.025,-6.96,-6.85,5.437,5.444,5.506,5.508,-6.96,-6.85,2.53,-6.04,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\09_A8.d" ,"14" ,6.092,6.119,6.151,1.05,1.51,1.23,2.64,0.37,0.059,0.023,-5.56,-5.26,6.080,6.086,6.150,6.153,-5.57,-5.26,2.15,-4.39,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\10_A9.d"," DAD1 - B:Sig=260,4  Ref=360,60 10_A9.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\10_A9.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\10_A9.d" ,"1" ,0.360,0.379,0.392,31.95,37.06,12.94,72.28,4.87,0.032,0.033,-1.18,-48.17,0.354,0.355,0.394,0.394,-1.18,-48.17,0.38,3.56,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\10_A9.d" ,"2" ,0.409,0.428,0.474,13.91,34.19,11.93,31.48,4.49,0.065,0.041,-0.34,3.17,0.394,0.394,0.465,0.479,-0.34,-0.34,2.71,13.57,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\10_A9.d" ,"3" ,0.474,0.504,0.561,14.53,36.64,12.79,32.87,4.82,0.087,0.036,3.17,0.90,0.465,0.479,0.554,0.566,-0.34,-0.34,1.31,14.18,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\10_A9.d" ,"4" ,0.561,0.578,0.592,3.43,4.78,1.67,7.75,0.63,0.031,0.027,0.90,1.97,0.554,0.566,0.585,0.594,-0.34,-0.34,0.66,3.09,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\10_A9.d" ,"5" ,0.592,0.609,0.687,44.20,69.15,24.13,100.00,9.09,0.095,0.021,1.97,0.68,0.585,0.594,0.725,0.760,-0.04,0.04,2.91,44.17,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\10_A9.d" ,"6" ,1.163,1.214,1.325,18.24,57.02,19.90,41.28,7.49,0.162,0.048,-0.25,-0.13,1.154,1.159,1.324,1.330,-0.25,-0.13,1.62,18.03,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\10_A9.d" ,"7" ,3.180,3.290,3.490,22.21,136.46,47.62,50.25,17.93,0.310,0.095,-0.93,-0.91,3.164,3.166,3.489,3.500,-0.93,-0.91,1.30,21.28,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\10_A9.d" ,"8" ,3.498,3.596,3.709,21.06,99.06,34.57,47.65,13.02,0.211,0.074,-0.91,-1.18,3.489,3.500,3.726,3.728,-0.91,-1.18,1.10,20.02,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\10_A9.d" ,"9" ,7.105,7.293,7.506,19.61,286.53,100.00,44.37,37.66,0.401,0.302,-0.50,16.32,7.024,7.032,7.505,7.509,-0.50,16.32,1.78,27.02,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\100_H6.d"," DAD1 - B:Sig=260,4  Ref=360,60 100_H6.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\100_H6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\100_H6.d" ,"1" ,0.363,0.379,0.391,18.73,19.13,6.78,37.39,2.65,0.028,0.033,-0.54,-26.60,0.353,0.355,0.394,0.394,-0.54,-26.60,0.33,3.62,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\100_H6.d" ,"2" ,0.406,0.423,0.477,12.11,29.09,10.31,24.17,4.04,0.071,0.038,-0.37,2.90,0.394,0.394,0.460,0.484,-0.37,-0.37,3.94,11.74,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\100_H6.d" ,"3" ,0.477,0.503,0.561,9.78,24.38,8.64,19.52,3.38,0.084,0.035,2.90,0.69,0.460,0.484,0.553,0.566,-0.37,-0.37,1.46,9.41,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\100_H6.d" ,"4" ,0.561,0.576,0.588,2.72,3.44,1.22,5.43,0.48,0.027,0.025,0.69,1.59,0.553,0.566,0.581,0.590,-0.37,-0.37,0.57,2.36,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\100_H6.d" ,"5" ,0.588,0.604,0.662,50.09,67.28,23.84,100.00,9.33,0.074,0.018,1.59,0.38,0.581,0.590,0.718,0.751,-0.03,0.05,2.99,50.07,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\100_H6.d" ,"6" ,1.156,1.219,1.321,17.43,57.51,20.38,34.80,7.98,0.166,0.051,-0.34,-0.13,1.142,1.145,1.321,1.324,-0.35,-0.13,1.46,17.17,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\100_H6.d" ,"7" ,3.182,3.298,3.464,21.78,135.39,47.98,43.49,18.78,0.282,0.097,-0.94,-0.65,3.160,3.162,3.495,3.499,-0.94,-0.65,1.27,20.96,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\100_H6.d" ,"8" ,3.501,3.593,3.697,21.27,99.38,35.22,42.46,13.79,0.196,0.074,-0.80,-1.01,3.495,3.499,3.714,3.717,-0.80,-1.01,1.13,20.37,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\100_H6.d" ,"9" ,3.825,3.866,3.940,0.95,3.02,1.07,1.90,0.42,0.115,0.050,-1.42,-1.84,3.816,3.820,3.944,3.946,-1.42,-1.84,0.84,-0.62,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\100_H6.d" ,"10" ,7.106,7.293,7.505,19.44,282.19,100.00,38.82,39.15,0.399,0.301,-0.36,16.53,7.027,7.029,7.505,7.509,-0.36,16.53,1.79,27.00,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\102_H7.d"," DAD1 - B:Sig=260,4  Ref=360,60 102_H7.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\102_H7.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\102_H7.d" ,"1" ,0.357,0.379,0.385,5.01,4.23,1.49,12.25,0.60,0.028,0.014,-1.68,-1.49,0.352,0.356,0.394,0.395,-1.68,-1.49,0.32,3.48,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\102_H7.d" ,"2" ,0.407,0.424,0.480,11.45,28.83,10.13,28.02,4.12,0.073,0.041,-1.33,2.25,0.394,0.395,0.463,0.486,-1.33,-0.81,3.74,10.24,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\102_H7.d" ,"3" ,0.480,0.506,0.560,9.72,22.39,7.87,23.79,3.20,0.080,0.033,2.25,0.54,0.463,0.486,0.551,0.567,-0.81,-0.25,1.43,9.09,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\102_H7.d" ,"4" ,0.560,0.578,0.595,1.99,2.85,1.00,4.87,0.41,0.035,0.024,0.54,0.69,0.551,0.567,0.588,0.598,-0.25,0.00,0.73,1.88,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\102_H7.d" ,"5" ,0.595,0.615,0.686,40.87,65.53,23.04,100.00,9.37,0.090,0.023,0.69,0.73,0.588,0.598,0.763,0.771,0.00,0.65,2.78,41.01,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\102_H7.d" ,"6" ,1.188,1.248,1.347,17.52,56.68,19.93,42.87,8.11,0.160,0.050,-0.50,-0.27,1.185,1.187,1.347,1.349,-0.52,-0.27,1.52,17.09,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\102_H7.d" ,"7" ,3.237,3.352,3.508,21.57,132.43,46.56,52.79,18.94,0.271,0.096,-1.05,-0.74,3.216,3.219,3.532,3.542,-1.05,-0.74,1.22,20.65,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\102_H7.d" ,"8" ,3.543,3.632,3.735,22.18,98.59,34.66,54.27,14.10,0.192,0.070,-0.99,-1.18,3.532,3.542,3.734,3.736,-0.99,-1.28,1.14,21.05,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\102_H7.d" ,"9" ,3.850,3.897,3.948,1.04,3.11,1.09,2.54,0.45,0.098,0.049,-1.56,-1.82,3.847,3.849,4.004,4.009,-1.56,-1.82,0.77,-0.65,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\102_H7.d" ,"10" ,7.103,7.293,7.505,19.52,284.43,100.00,47.76,40.69,0.402,0.302,-0.55,16.41,7.028,7.032,7.505,7.509,-0.55,16.41,1.79,26.97,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\103_H8.d"," DAD1 - B:Sig=260,4  Ref=360,60 103_H8.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\103_H8.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\103_H8.d" ,"1" ,0.361,0.379,0.391,21.88,24.03,8.45,50.14,3.53,0.030,0.033,-0.84,-31.28,0.353,0.354,0.394,0.394,-0.84,-31.28,0.36,3.53,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\103_H8.d" ,"2" ,0.407,0.425,0.479,11.69,29.15,10.25,26.79,4.28,0.072,0.040,-0.33,2.61,0.394,0.394,0.464,0.485,-0.33,-0.33,3.57,11.36,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\103_H8.d" ,"3" ,0.479,0.506,0.561,11.35,26.90,9.46,26.02,3.95,0.082,0.033,2.61,0.79,0.464,0.485,0.553,0.566,-0.33,-0.33,1.28,11.02,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\103_H8.d" ,"4" ,0.561,0.577,0.588,2.89,3.62,1.27,6.62,0.53,0.027,0.025,0.79,1.82,0.553,0.566,0.580,0.590,-0.33,-0.33,0.54,2.56,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\103_H8.d" ,"5" ,0.588,0.604,0.661,43.64,59.04,20.77,100.00,8.68,0.074,0.018,1.82,0.28,0.580,0.590,0.719,0.753,-0.04,0.04,2.99,43.62,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\103_H8.d" ,"6" ,1.162,1.216,1.322,15.27,49.23,17.32,35.00,7.23,0.160,0.050,-0.27,-0.13,1.157,1.159,1.320,1.324,-0.27,-0.13,1.56,15.05,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\103_H8.d" ,"7" ,3.174,3.295,3.462,19.10,118.03,41.52,43.76,17.35,0.288,0.096,-0.98,-0.70,3.146,3.148,3.461,3.464,-1.02,-0.70,1.30,18.21,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\103_H8.d" ,"8" ,3.497,3.591,3.710,18.37,86.13,30.30,42.09,12.66,0.213,0.074,-0.87,-1.24,3.489,3.495,3.714,3.716,-0.87,-1.24,1.13,17.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\103_H8.d" ,"9" ,7.105,7.296,7.505,19.36,284.27,100.00,44.38,41.78,0.400,0.301,-0.38,16.42,7.026,7.029,7.505,7.509,-0.38,16.42,1.72,27.01,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\104_H9.d"," DAD1 - B:Sig=260,4  Ref=360,60 104_H9.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\104_H9.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\104_H9.d" ,"1" ,0.362,0.378,0.391,21.39,22.73,7.98,48.21,2.69,0.029,0.032,-0.65,-31.17,0.353,0.354,0.393,0.394,-0.65,-31.17,0.36,3.74,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\104_H9.d" ,"2" ,0.406,0.422,0.474,12.04,27.95,9.81,27.14,3.31,0.068,0.038,0.08,2.98,0.393,0.394,0.461,0.482,0.08,0.34,3.86,12.18,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\104_H9.d" ,"3" ,0.474,0.502,0.557,10.05,21.76,7.64,22.65,2.58,0.083,0.031,2.98,0.76,0.461,0.482,0.553,0.565,0.75,0.67,1.06,10.78,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\104_H9.d" ,"4" ,0.589,0.605,0.658,44.38,58.41,20.50,100.00,6.91,0.070,0.018,1.63,0.62,0.581,0.591,0.723,0.752,0.64,0.56,2.77,45.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\104_H9.d" ,"5" ,1.159,1.218,1.333,16.47,53.73,18.86,37.12,6.36,0.173,0.050,-0.32,-0.18,1.147,1.154,1.330,1.338,-0.32,-0.18,1.51,16.20,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\104_H9.d" ,"6" ,3.178,3.298,3.483,20.80,131.80,46.26,46.88,15.60,0.305,0.097,-1.00,-0.86,3.163,3.166,3.482,3.485,-1.00,-1.13,1.25,19.75,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\104_H9.d" ,"7" ,3.494,3.591,3.706,20.19,95.99,33.69,45.50,11.36,0.213,0.074,-0.88,-1.22,3.490,3.495,3.714,3.722,-1.13,-1.22,1.14,19.01,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\104_H9.d" ,"8" ,7.101,7.287,7.505,19.80,284.88,100.00,44.62,33.72,0.404,0.302,-0.67,16.44,7.030,7.032,7.505,7.509,-0.67,16.44,1.91,26.99,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\104_H9.d" ,"9" ,7.506,7.515,8.021,3.47,147.46,51.76,7.82,17.46,0.514,0.090,15.90,2.84,7.505,7.509,8.846,8.853,15.90,2.11,16.40,19.14,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\105_H10.d"," DAD1 - B:Sig=260,4  Ref=360,60 105_H10.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\105_H10.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\105_H10.d" ,"1" ,0.361,0.378,0.391,21.32,23.14,8.14,43.16,2.63,0.030,0.033,-0.85,-30.86,0.353,0.354,0.393,0.394,-0.85,-30.86,0.36,3.56,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\105_H10.d" ,"2" ,0.406,0.423,0.476,12.26,30.02,10.56,24.82,3.41,0.070,0.040,-0.35,2.90,0.393,0.394,0.461,0.483,-0.35,-0.35,3.73,11.91,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\105_H10.d" ,"3" ,0.476,0.502,0.561,10.85,25.60,9.01,21.97,2.91,0.085,0.032,2.90,0.59,0.461,0.483,0.553,0.566,-0.35,-0.35,1.32,10.50,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\105_H10.d" ,"4" ,0.561,0.577,0.589,2.61,3.40,1.19,5.28,0.39,0.029,0.026,0.59,1.45,0.553,0.566,0.582,0.591,-0.35,-0.35,0.59,2.26,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\105_H10.d" ,"5" ,0.589,0.606,0.666,49.39,68.70,24.18,100.00,7.81,0.077,0.019,1.45,0.52,0.582,0.591,0.721,0.755,-0.07,0.01,3.02,49.34,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\105_H10.d" ,"6" ,1.160,1.218,1.324,18.05,58.13,20.46,36.54,6.61,0.164,0.050,-0.32,-0.14,1.155,1.159,1.323,1.325,-0.32,-0.16,1.49,17.78,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\105_H10.d" ,"7" ,3.182,3.297,3.458,22.34,137.21,48.28,45.22,15.59,0.276,0.096,-0.94,-0.55,3.159,3.164,3.487,3.497,-0.94,-0.55,1.24,21.56,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\105_H10.d" ,"8" ,3.503,3.591,3.704,21.44,100.92,35.51,43.41,11.47,0.201,0.074,-0.76,-1.15,3.487,3.497,3.716,3.723,-0.76,-1.15,1.13,20.51,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\105_H10.d" ,"9" ,7.105,7.291,7.505,19.59,284.19,100.00,39.67,32.29,0.400,0.302,-0.40,16.36,7.024,7.031,7.505,7.509,-0.40,16.36,1.83,26.98,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\105_H10.d" ,"10" ,7.506,7.516,8.033,3.56,148.84,52.37,7.21,16.91,0.527,0.094,15.80,1.94,7.505,7.509,8.833,8.835,15.80,1.81,15.37,19.11,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\106_H11.d"," DAD1 - B:Sig=260,4  Ref=360,60 106_H11.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\106_H11.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\106_H11.d" ,"1" ,0.361,0.377,0.391,23.37,25.74,9.09,100.00,6.97,0.030,0.033,-0.78,-36.08,0.352,0.354,0.393,0.393,-0.78,-36.08,0.37,3.21,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\106_H11.d" ,"2" ,0.406,0.423,0.477,12.92,32.25,11.39,55.26,8.73,0.071,0.040,-0.33,3.02,0.393,0.393,0.463,0.484,-0.33,-0.32,3.71,12.59,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\106_H11.d" ,"3" ,0.477,0.502,0.560,11.11,24.34,8.60,47.51,6.59,0.082,0.030,3.02,0.62,0.463,0.484,0.553,0.565,0.00,-0.07,1.26,11.08,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\106_H11.d" ,"4" ,0.560,0.576,0.603,2.52,4.02,1.42,10.79,1.09,0.043,0.028,0.62,-0.11,0.553,0.565,0.610,0.611,-0.07,-0.11,1.05,2.43,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\106_H11.d" ,"5" ,7.106,7.291,7.505,19.55,283.15,100.00,83.64,76.63,0.399,0.302,-0.33,16.41,7.026,7.029,7.505,7.509,-0.33,16.41,1.83,26.97,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\107_H12.d"," DAD1 - B:Sig=260,4  Ref=360,60 107_H12.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\107_H12.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\107_H12.d" ,"1" ,0.360,0.379,0.392,23.59,26.77,4.66,55.41,1.76,0.032,0.034,-1.06,-32.85,0.353,0.355,0.394,0.394,-1.06,-32.85,0.36,3.71,,,  ,,,,,,,,,,,,
